,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,NK,Neutrophils
s_segment_26_516,0.0877,0,0.0393,0.3231,0.002,0.0183,0,0.3971,0.1319,0.0005,0.0001
s_segment_26_559,0.0126,0,0.0005,0.496,0.2485,0,0.0001,0.2423,0,0,0
s_segment_26_565,0.0039,0.0001,0.0236,0.2683,0.0028,0.6886,0.0108,0.0002,0.0017,0,0
s_segment_26_577,0.0005,0.0004,0.0001,0.5263,0.0265,0.0378,0.0746,0.0918,0.0047,0.2373,0
s_segment_26_614,0.0316,0.0007,0.0203,0.2407,0.0206,0.1352,0.5003,0.0354,0.0012,0.001,0.013
s_segment_26_702,0.001,0.0004,0.0011,0.8309,0.0002,0.1102,0.0205,0.0318,0,0.0038,0.0001
s_segment_26_732,0.0284,0.011,0.0002,0.2886,0.1651,0.0551,0.0039,0.2843,0.1347,0.0078,0.0209
s_segment_26_743,0.0076,0.0007,0.0038,0.7594,0.0001,0.0001,0.21,0.017,0.0002,0.0001,0.001
s_segment_26_784,0,0.0001,0.1653,0.1975,0,0.0002,0.1678,0.4113,0.0577,0,0.0001
s_segment_26_793,0.1033,0.0197,0.0002,0.421,0.0415,0.0089,0.0869,0.2325,0.0462,0.0003,0.0395
s_segment_26_823,0.0109,0.0099,0.0025,0.0088,0.002,0.0403,0.3466,0.5758,0.0017,0.0014,0.0001
s_segment_26_833,0.0001,0.0005,0.0001,0.7965,0.0023,0.1322,0.0062,0.0296,0.0011,0.0305,0.0009
s_segment_26_835,0.0002,0.0396,0.0036,0.6403,0,0.2042,0.0001,0.0002,0.0944,0.0017,0.0157
s_segment_26_868,0.0065,0.0041,0.1439,0.0802,0.0002,0.1535,0.1818,0.3763,0.0014,0.0254,0.0267
s_segment_26_883,0,0,0.0015,0.5621,0,0.1782,0,0.0008,0.0001,0.2565,0.0008
s_segment_26_897,0,0,0.0001,0.2267,0.0038,0.5002,0.0042,0.2292,0.0356,0.0002,0
s_segment_26_898,0.0165,0.0026,0.0181,0.6866,0.0004,0.2371,0.0008,0.0001,0.0369,0.0007,0.0002
s_segment_26_913,0.0084,0.0052,0.0005,0.3313,0.221,0.0613,0.0177,0.3177,0.024,0.011,0.0019
s_segment_26_927,0.0008,0.0001,0.0007,0.6184,0.0056,0.0017,0.2392,0,0,0.1335,0
s_segment_26_968,0.0004,0.0083,0.0001,0.9162,0.0417,0.0003,0.0021,0.0076,0.0002,0.0031,0.02
s_segment_27_1004,0.0001,0,0.0005,0.421,0.0372,0,0.5384,0.0006,0.0009,0,0.0013
s_segment_27_1010,0.0002,0.05,0.0001,0.636,0,0.1133,0,0.0335,0.1398,0.0271,0
s_segment_27_1036,0.0171,0.1516,0.0088,0.5496,0.0248,0.0052,0.002,0.1178,0.0792,0.0005,0.0434
s_segment_27_1069,0.0212,0.0026,0.0025,0.8423,0.002,0.0001,0.0001,0.0002,0.0003,0.1287,0
s_segment_27_1075,0.0021,0.0096,0.1131,0.4125,0.0023,0.0003,0.0001,0.446,0.0098,0.0033,0.0009
s_segment_27_1100,0,0.0004,0,0.352,0.1574,0.0137,0.2247,0,0.066,0.1857,0.0001
s_segment_27_1101,0,0,0,0.7806,0.0001,0,0,0.1171,0.0102,0.092,0
s_segment_27_1117,0.0001,0.0039,0.0031,0.4255,0.0028,0.0018,0.234,0.1003,0.0004,0.2279,0.0002
s_segment_27_115,0.0001,0.0198,0.0004,0.3835,0.0324,0,0.0046,0.4865,0.0001,0.0412,0.0314
s_segment_27_117,0.0046,0.0001,0,0.8188,0.0206,0.1489,0.0014,0.0001,0.0039,0.0016,0
s_segment_27_1243,0,0.0013,0.0004,0.8757,0.0016,0.0113,0.0048,0.0837,0.0005,0.0024,0.0183
s_segment_27_1253,0.0096,0.0165,0.0013,0.2737,0.0883,0.322,0.001,0.2185,0.0016,0.0674,0.0001
s_segment_27_1274,0,0.0033,0.0002,0.7447,0.0004,0.0279,0.0189,0.0025,0.1473,0.0547,0.0001
s_segment_27_1329,0.0013,0,0.006,0.838,0.0153,0,0.0008,0.0001,0.0723,0.0147,0.0515
s_segment_27_1353,0.0215,0.0014,0.0043,0.4213,0.0095,0.0659,0.3852,0.0258,0.0028,0.0483,0.014
s_segment_27_1356,0.0002,0.0003,0.0004,0.7227,0.0634,0.0818,0.0004,0.1222,0.0004,0.0082,0
s_segment_27_1368,0.1056,0.0001,0.0932,0,0.0001,0.1912,0.2244,0.3852,0,0.0001,0.0001
s_segment_27_1372,0.0028,0.1548,0.0001,0.6091,0.001,0.0003,0.0804,0.0066,0.0321,0.1063,0.0065
s_segment_27_1380,0.0216,0.0001,0.0494,0.2408,0.0047,0.0118,0.3274,0.2676,0.0338,0,0.0428
s_segment_27_139,0.0011,0.0061,0.0198,0.4924,0.0014,0.0002,0.0709,0.3628,0.0002,0.0041,0.041
s_segment_27_1392,0.0005,0.0194,0.0033,0.3259,0.0416,0.0002,0.1061,0.1033,0.0318,0.3679,0
s_segment_27_1548,0.0009,0.0003,0.1327,0.7281,0.0053,0.0008,0.0121,0.0056,0.111,0.0001,0.0031
s_segment_27_1607,0.0001,0.0012,0.0001,0.6773,0.0011,0.0021,0.0735,0.0007,0.0024,0.2362,0.0053
s_segment_27_1616,0.0001,0.0036,0.0006,0.5672,0,0,0.3135,0.113,0.0001,0,0.0019
s_segment_27_1639,0,0.0067,0.0166,0.8081,0.0001,0.0009,0.1617,0,0,0.0021,0.0038
s_segment_27_1644,0.0004,0.0006,0.0347,0.6768,0.1197,0,0.0086,0.1549,0.0004,0.0036,0.0003
s_segment_27_1662,0.0045,0.0001,0,0.618,0.018,0.0369,0.0671,0.0011,0.0105,0.242,0.0018
s_segment_27_1663,0,0.0244,0.0002,0.5648,0.0001,0.0285,0.0002,0.0875,0.2942,0.0001,0
s_segment_27_168,0.0082,0,0.0757,0.6802,0.0002,0.0021,0.0001,0,0.2335,0,0
s_segment_27_1697,0.0201,0,0.0002,0.7472,0.0011,0.0002,0.0516,0.0585,0.1037,0.0099,0.0075
s_segment_27_172,0.0001,0.0048,0.1657,0.4379,0.0321,0.0397,0.2032,0.0933,0.0015,0.0019,0.0198
s_segment_27_1764,0.0001,0.0001,0.131,0.1897,0.0017,0,0.0036,0.6246,0.0117,0.0375,0
s_segment_27_179,0.1933,0.0337,0.0239,0.5582,0.0102,0.0009,0.1276,0.0016,0.0023,0.0189,0.0294
s_segment_27_1792,0,0,0.3096,0.6834,0.0006,0.0003,0,0.0001,0.006,0,0
s_segment_27_1823,0.0001,0.0006,0.0002,0.3875,0.0003,0.0373,0.2385,0.1252,0.001,0.2093,0
s_segment_27_1844,0.0911,0.0039,0.0177,0.6961,0.0033,0.0006,0.1582,0.008,0.0004,0.0008,0.0199
s_segment_27_1855,0.0001,0.0079,0.0001,0.4396,0.0002,0.0002,0.0982,0.0103,0.425,0.002,0.0164
s_segment_27_1859,0.0421,0.0012,0.0019,0.0089,0.0005,0.1447,0.2914,0.3354,0.1463,0.0022,0.0254
s_segment_27_187,0.0159,0.0009,0,0.0005,0.0207,0.0073,0.2275,0.4534,0.2117,0.0618,0.0003
s_segment_27_1889,0.0062,0.0014,0.0012,0.0099,0.002,0.0038,0.4411,0.323,0.0698,0.1344,0.0072
s_segment_27_1915,0.0001,0,0,0.304,0.0001,0.0973,0.1387,0.0181,0,0.4417,0
s_segment_27_1931,0,0.0006,0.0001,0.913,0.0091,0,0.014,0.062,0.0008,0.0003,0.0001
s_segment_27_1933,0.1587,0.0071,0.0033,0.3125,0.0047,0.1587,0.3119,0.0042,0.0087,0.0051,0.0251
s_segment_27_1937,0.0148,0.0092,0.0237,0.0014,0.0103,0.3893,0.0894,0.425,0.0309,0.0003,0.0057
s_segment_27_1957,0.0115,0.0018,0.0573,0.5303,0.0014,0.2708,0.0099,0.0416,0.0477,0.0242,0.0035
s_segment_27_1962,0.1433,0.0025,0.0003,0.2311,0,0.0911,0.4904,0.0308,0.0003,0.0026,0.0076
s_segment_27_1980,0.0076,0.001,0.0005,0.8643,0.0002,0.0086,0.0021,0.0024,0.1033,0.0031,0.0069
s_segment_27_2011,0.0052,0.0001,0.0005,0.5093,0.0011,0.0002,0,0.2154,0.2599,0.0001,0.0082
s_segment_27_2017,0.0467,0.0027,0.0072,0.5726,0.0001,0.0036,0.099,0.0006,0.0366,0.2296,0.0013
s_segment_27_2045,0.0013,0.0013,0.0001,0.5252,0.016,0.0043,0.0218,0.0706,0.0271,0.3322,0.0001
s_segment_27_2055,0.0006,0.0239,0.0029,0.7857,0.0115,0.0061,0.0192,0.0637,0.0047,0.0765,0.0052
s_segment_27_2058,0,0.0008,0.1231,0.6304,0.0001,0.2399,0.0005,0.0002,0.0003,0.0042,0.0005
s_segment_27_2078,0.0001,0,0.0001,0.0346,0.0004,0.5094,0.0879,0.3528,0.0016,0.0005,0.0126
s_segment_27_2081,0.0552,0.0491,0.0001,0.5605,0.0125,0.2359,0.0002,0.0091,0.0271,0,0.0503
s_segment_27_21,0.0254,0.0721,0.0001,0.3422,0.0002,0,0.3525,0.0001,0.1914,0.0143,0.0017
s_segment_27_2107,0.1857,0.0063,0.0084,0.1452,0.031,0.2927,0.0473,0.1933,0.0062,0.081,0.0029
s_segment_27_2128,0.003,0.027,0.0484,0.7903,0,0,0,0.1273,0.0019,0.0001,0.002
s_segment_27_2156,0.0002,0.0096,0.0001,0.3977,0.1674,0.0038,0.2765,0.127,0.0174,0,0.0003
s_segment_27_2159,0.0002,0.0109,0.0022,0.5559,0.0051,0.2654,0.0007,0.0138,0.0005,0.0725,0.0728
s_segment_27_2172,0.0005,0,0,0.653,0.0362,0,0.1437,0.0001,0.0001,0.1664,0
s_segment_27_2246,0.0281,0.0006,0.0943,0.8228,0.0001,0.0001,0.0042,0.0018,0.0002,0.0477,0.0001
s_segment_27_2261,0.0021,0.0006,0.0007,0.5593,0.0004,0.0013,0.0004,0,0.159,0.2751,0.0011
s_segment_27_2279,0.0103,0.0184,0.0054,0.3634,0.0006,0.014,0.0003,0.381,0.1156,0.0852,0.0058
s_segment_27_232,0.0002,0.0006,0.0001,0.9176,0,0.0006,0.0002,0.0005,0.0258,0.0005,0.0539
s_segment_27_2321,0.0046,0.0001,0,0.7498,0.0041,0.0071,0,0.2342,0.0001,0,0
s_segment_27_2340,0.0003,0.001,0.278,0.2581,0.0009,0.1213,0,0.334,0.006,0.0001,0.0003
s_segment_27_2368,0.0158,0.0566,0.0237,0.2414,0.0004,0.1841,0.0943,0.3676,0.0009,0.0151,0.0001
s_segment_27_2370,0.0001,0.0065,0.1051,0.2593,0.1553,0.0011,0.1613,0.3047,0.0043,0,0.0023
s_segment_27_2378,0.001,0.0001,0.0001,0.4137,0,0.021,0.0042,0.5317,0.0093,0.0101,0.0088
s_segment_27_2391,0.0872,0.1132,0.0007,0.4699,0.0141,0.2564,0.0377,0,0.0189,0.0003,0.0016
s_segment_27_2409,0.0197,0.0002,0.0073,0.5397,0.0038,0.2899,0.0537,0.0248,0.0037,0.0418,0.0154
s_segment_27_243,0,0.0001,0.0514,0.4845,0.0004,0,0.0008,0.4388,0.024,0,0
s_segment_27_2449,0,0.0001,0.0004,0.8523,0.005,0.0005,0,0.0001,0,0.1416,0
s_segment_27_2472,0.0003,0.0001,0.0015,0.8724,0,0.0036,0.0322,0.073,0.0001,0.0163,0.0005
s_segment_27_251,0.0001,0.0031,0.0012,0.9211,0.0001,0.0034,0.0236,0.0371,0,0,0.0103
s_segment_27_2521,0.0007,0.0042,0.0087,0.5799,0.001,0.0174,0.3876,0.0001,0.0002,0,0.0002
s_segment_27_2525,0.0019,0,0.0001,0.2416,0.0721,0.0705,0.0051,0.6081,0,0.0004,0.0002
s_segment_27_2526,0.0002,0.0812,0.0641,0.5959,0.0538,0.1548,0,0.0063,0.0001,0.0436,0
s_segment_27_2610,0.0006,0.009,0,0.6734,0,0.2678,0.047,0.0021,0.0001,0,0
s_segment_27_2623,0.0002,0.0084,0.0124,0.1482,0.0054,0,0.1199,0.6805,0.0002,0.0247,0.0001
s_segment_27_2624,0.0005,0.0001,0.0001,0.6318,0.0023,0,0.0633,0,0.3011,0,0.0008
s_segment_27_2635,0.0104,0.0345,0.0992,0.2791,0.0001,0,0.2525,0.0132,0.3101,0.0001,0.0008
s_segment_27_2640,0.049,0.0879,0.0081,0.4234,0.0009,0.0127,0.0954,0.3202,0.001,0.0002,0.0012
s_segment_27_2649,0.0001,0.0092,0.0002,0.4616,0.0149,0,0.0096,0.5044,0,0,0
s_segment_27_2652,0.0293,0,0,0.8169,0,0.0001,0.0115,0.0003,0.1413,0.0003,0.0003
s_segment_27_2653,0.0004,0.0029,0.0312,0.5185,0.0668,0.1201,0.0152,0.0877,0.1535,0.0033,0.0004
s_segment_27_270,0.0003,0.0016,0.0002,0.3945,0.0002,0.5093,0.0001,0.0001,0,0.0017,0.092
s_segment_27_2722,0.0054,0.0402,0.0061,0.7454,0.0064,0.1366,0.0002,0.0002,0.0051,0.0171,0.0373
s_segment_27_2723,0.0002,0.0035,0.0164,0.7473,0,0.0001,0.0001,0.2319,0.0002,0,0.0003
s_segment_27_2774,0,0.0001,0,0.6517,0,0.0002,0.23,0.1004,0.0001,0.0001,0.0174
s_segment_27_2812,0.0011,0.0015,0.1364,0.5279,0.002,0.0036,0.0016,0.0941,0.0349,0.1003,0.0966
s_segment_27_2817,0,0.0078,0.0007,0.6815,0.0449,0.0254,0.0058,0.1671,0,0.0007,0.0661
s_segment_27_2840,0.0007,0,0.0006,0.479,0.0001,0.5187,0,0.0003,0,0.0006,0
s_segment_27_2874,0.0676,0.0008,0,0.8184,0.001,0.0017,0.0022,0.1034,0.0044,0.0004,0.0001
s_segment_27_288,0.0019,0.0143,0.0006,0.121,0.0043,0.0009,0.6214,0.1475,0.0008,0.0866,0.0007
s_segment_27_29,0.1194,0.118,0.0006,0.4142,0.0096,0.099,0.2046,0.0004,0.0013,0.0005,0.0324
s_segment_27_2931,0.0007,0.1213,0.0707,0.7527,0.0003,0.014,0.0078,0.0095,0.0074,0.0044,0.0112
s_segment_27_2950,0.0036,0.0439,0.0723,0.3013,0.002,0.5244,0.0016,0.006,0.0313,0.0052,0.0084
s_segment_27_2952,0.0002,0,0.159,0.7438,0.0009,0.0376,0.0031,0,0.0001,0.0085,0.0468
s_segment_27_2966,0.0001,0.0175,0.0005,0.3061,0.0019,0.0222,0.0129,0.4864,0.0689,0.0124,0.0711
s_segment_27_2996,0.0003,0.2533,0,0.3697,0.0069,0.0699,0.0003,0.2945,0.0019,0.0026,0.0006
s_segment_27_3038,0.0014,0.0571,0,0.4083,0.044,0.0001,0.3166,0.0031,0,0.169,0.0004
s_segment_27_3071,0.0005,0.0031,0.0099,0.7845,0.0133,0.0063,0.0009,0.0014,0.0002,0.1758,0.0041
s_segment_27_3097,0.0002,0.0005,0.0876,0.3003,0.067,0.0007,0.0023,0.3925,0.1252,0.0118,0.0119
s_segment_27_3116,0.0334,0,0,0.5962,0.0007,0,0.3195,0.0013,0.0001,0.0488,0
s_segment_27_3126,0,0.0003,0.0087,0.7091,0.0002,0.2727,0.0033,0.0026,0.0016,0.0001,0.0014
s_segment_27_3141,0.1378,0.0002,0.0012,0.4285,0,0.0001,0.001,0.431,0,0.0001,0.0001
s_segment_27_3151,0.0035,0.023,0.0002,0.3138,0.002,0.0171,0.5074,0.0898,0.003,0.0396,0.0006
s_segment_27_3162,0,0.0003,0.0081,0.9263,0.0002,0.0043,0.016,0.0363,0.0015,0.0025,0.0045
s_segment_27_3187,0.0183,0.065,0.0122,0.3649,0.0033,0.3586,0.1442,0.0166,0.01,0.0064,0.0005
s_segment_27_3193,0.0002,0.1005,0.0019,0.0903,0.0196,0.0002,0.1286,0.3059,0.0119,0.3409,0
s_segment_27_3198,0.0415,0.0386,0.0081,0.2224,0.0042,0.176,0.2856,0.1091,0.0415,0.0033,0.0697
s_segment_27_320,0.0056,0.0325,0.1188,0.5047,0.0009,0.0003,0.2872,0,0.0419,0.0081,0
s_segment_27_3201,0.0001,0.001,0.0011,0.9722,0.0002,0.0238,0,0.0006,0,0.001,0
s_segment_27_3224,0.005,0.0121,0.001,0.9101,0.0145,0.001,0.023,0.0068,0.0012,0.0009,0.0244
s_segment_27_3231,0,0.0001,0.0921,0.4178,0.0534,0.3768,0.059,0.0003,0.0002,0,0.0003
s_segment_27_3266,0.0011,0.1288,0,0.2962,0.0361,0.4765,0.0036,0.01,0.0006,0.047,0.0001
s_segment_27_3267,0.0003,0.0655,0.0436,0.3247,0.0038,0.0001,0.3876,0.1694,0.0008,0.0023,0.0019
s_segment_27_3269,0.0001,0.0439,0.0011,0.5361,0.1526,0.0084,0.0553,0.1795,0.0001,0.0064,0.0165
s_segment_27_3344,0.0324,0.012,0.0036,0.8557,0.0037,0.0005,0.0322,0.0435,0.0016,0.0143,0.0005
s_segment_27_3347,0,0.1621,0.1001,0.622,0,0.0001,0.0066,0.0089,0.0336,0.0659,0.0007
s_segment_27_3399,0.0017,0.0015,0.0024,0.4126,0.0018,0.0199,0.004,0.4955,0.0193,0.0094,0.0319
s_segment_27_3415,0.0002,0.013,0.0018,0.4454,0.0002,0.0448,0.3973,0.0575,0.0145,0.0145,0.0108
s_segment_27_3430,0,0.0002,0.1674,0.3691,0.0429,0.0001,0.0018,0.3737,0.0318,0.0001,0.0129
s_segment_27_3437,0.0041,0,0.0001,0.658,0.0076,0.0001,0.1168,0.0001,0.0507,0.1218,0.0407
s_segment_27_3444,0.0169,0.0002,0,0.3535,0.0126,0.3298,0.258,0.0033,0.0006,0.0055,0.0196
s_segment_27_3454,0.1108,0.0001,0.0711,0.336,0.0108,0.0013,0.0001,0.2782,0.1077,0.0001,0.0838
s_segment_27_35,0.0221,0.0033,0.0015,0.4773,0.0087,0.0048,0.4778,0.0039,0.0001,0.0004,0.0001
s_segment_27_3520,0.0002,0.0003,0,0.4003,0.0109,0.0022,0.5746,0.0001,0.005,0.0012,0.0052
s_segment_27_356,0.002,0.0545,0.0751,0.3645,0.0053,0.0009,0.4704,0.0059,0.0052,0.0017,0.0145
s_segment_27_3582,0.0028,0.0367,0.002,0.5155,0.0447,0.0003,0.3828,0.0056,0.0078,0.0005,0.0013
s_segment_27_3588,0.0082,0.0137,0.0179,0.9157,0.005,0.0329,0.0051,0.0007,0,0.0003,0.0005
s_segment_27_3622,0.0014,0.0002,0.0108,0.457,0.0039,0.0004,0.2711,0.1647,0.0189,0.0007,0.0709
s_segment_27_3637,0.0001,0.0019,0.0348,0.425,0.0116,0.0014,0.2329,0.0021,0.0297,0.2588,0.0017
s_segment_27_3653,0,0.0002,0.0002,0.9613,0.003,0.0011,0.0291,0.0014,0.0035,0.0001,0.0001
s_segment_27_366,0.0364,0,0.0127,0.6942,0,0.0171,0.1837,0.0001,0.003,0.0526,0.0002
s_segment_27_3691,0.0119,0,0.0027,0.4667,0.0031,0.0001,0.0168,0.2542,0.2437,0.0008,0
s_segment_27_3695,0.0181,0.0005,0.0069,0.7542,0.083,0.136,0,0.0006,0.0005,0.0001,0.0001
s_segment_27_3701,0.0046,0.0015,0.0166,0.777,0.0439,0.0022,0.0173,0.0717,0.0355,0.0236,0.0061
s_segment_27_3726,0.0005,0.026,0.0003,0.8657,0.0001,0.0012,0.1011,0.0013,0.0031,0.0001,0.0006
s_segment_27_3738,0.0028,0.1547,0.0031,0.5982,0.0013,0.0469,0.006,0.1587,0.003,0.0219,0.0034
s_segment_27_3746,0.0184,0.0151,0.0199,0.6063,0.001,0.0121,0.0319,0.1344,0.1429,0.0068,0.0112
s_segment_27_3774,0.0776,0.1209,0,0.4114,0.0002,0.0004,0.3382,0,0.0276,0.0001,0.0236
s_segment_27_3783,0.0009,0.0003,0.0003,0.3041,0.0001,0.614,0.001,0,0.0007,0.0784,0.0002
s_segment_27_3823,0,0,0.0195,0.5422,0,0.0001,0.383,0.0001,0,0.0004,0.0547
s_segment_27_385,0.0052,0.0041,0.0008,0.483,0.0031,0.045,0,0.3575,0.0589,0.0001,0.0423
s_segment_27_3855,0,0.0028,0.0002,0.8188,0.0002,0.0001,0.0476,0.1302,0,0.0001,0
s_segment_27_3875,0.0073,0.0012,0.0231,0.3064,0,0.5345,0.1048,0.0001,0.0225,0.0001,0
s_segment_27_3881,0,0.0069,0.002,0.6198,0,0.1019,0.2669,0,0.0002,0.0002,0.0021
s_segment_27_3916,0.0046,0.0067,0.0001,0.2201,0.0009,0.6026,0.0433,0.0003,0.0995,0.0218,0.0001
s_segment_27_3925,0.0065,0.0022,0.011,0.6981,0.0005,0.0034,0.0003,0.0001,0.2163,0.0041,0.0575
s_segment_27_3968,0.0056,0.0079,0.1165,0.2612,0.0001,0.568,0.0021,0.0156,0.0003,0.0004,0.0223
s_segment_27_40,0.005,0,0.0366,0.779,0.0109,0.0001,0.1642,0.0042,0,0,0
s_segment_27_401,0,0.0005,0,0.0079,0.0496,0.0001,0.4974,0.3516,0.0337,0.0582,0.001
s_segment_27_402,0.0091,0.0005,0.0225,0.8867,0.0008,0.0144,0.0035,0.0005,0.0033,0.0587,0
s_segment_27_4029,0.0139,0.2052,0.0065,0.4358,0.001,0.3165,0.001,0.0047,0.0003,0.0106,0.0045
s_segment_27_4045,0.0844,0.0072,0.0019,0.5442,0.0018,0.0019,0.2788,0.0123,0.0608,0.0049,0.0018
s_segment_27_407,0.0036,0.0042,0.0021,0.9348,0.0009,0,0.0202,0.0004,0.0007,0.001,0.0321
s_segment_27_408,0.0095,0,0.0002,0.8448,0.0001,0.0002,0.0001,0.1145,0.0004,0.024,0.0062
s_segment_27_4088,0.01,0.2344,0,0.0991,0.0014,0.0518,0.2494,0.2391,0.1132,0.0015,0.0001
s_segment_27_4090,0.0798,0.0012,0.0001,0.7986,0,0.0092,0.0007,0.0073,0.0736,0.0074,0.0221
s_segment_27_4093,0.057,0.0322,0.0213,0.1861,0.003,0.0016,0.1522,0.5429,0.0034,0.0001,0.0002
s_segment_27_4112,0.0022,0.0001,0.0003,0.3379,0.0001,0.5677,0.0775,0.0022,0.0029,0.0047,0.0044
s_segment_27_4124,0.0002,0,0.0003,0.4819,0.0007,0.1381,0.0089,0.3591,0.0086,0.0017,0.0005
s_segment_27_4230,0.0025,0.0125,0,0.9015,0,0.0001,0,0.0721,0.0001,0.0048,0.0064
s_segment_27_424,0.0003,0.105,0.0001,0.4059,0,0.0015,0.158,0.0006,0.0003,0.3262,0.0021
s_segment_27_4242,0,0.0002,0.0285,0.101,0.0007,0.2105,0.3818,0.2,0.0001,0.0545,0.0227
s_segment_27_4249,0.0043,0.0004,0.0126,0.3797,0.1107,0.3349,0.0239,0.0024,0.1265,0.0012,0.0034
s_segment_27_426,0.0006,0.0065,0.2708,0.1003,0.0002,0.2815,0.0424,0.2257,0.0145,0.054,0.0035
s_segment_27_4262,0.0001,0,0,0.1811,0,0.0086,0,0.8073,0.0007,0,0.0022
s_segment_27_4263,0.1707,0.0767,0.0009,0.3181,0.0008,0.0322,0.235,0.0458,0.0013,0.1124,0.0061
s_segment_27_4281,0.0017,0.0215,0.0006,0.4277,0,0.0013,0.0686,0.3825,0.0144,0.002,0.0797
s_segment_27_4292,0.0086,0.1075,0.0198,0.5645,0.0027,0.0015,0.0024,0.2362,0.0561,0.0007,0
s_segment_27_4309,0,0.0002,0.0002,0.2394,0.0004,0.0001,0.0001,0.4366,0.2979,0.0251,0
s_segment_27_4319,0.0001,0.0001,0.0016,0.8523,0.0028,0.0384,0,0.1046,0,0.0001,0
s_segment_27_4368,0.0079,0.003,0.0004,0.4248,0.0008,0.024,0.034,0.4934,0.0019,0.0083,0.0015
s_segment_27_4397,0.1696,0.1646,0,0.3499,0,0.0458,0.0134,0.252,0.0001,0.0026,0.002
s_segment_27_443,0.0081,0.0335,0.0057,0.4017,0.0161,0.1863,0.0233,0.0054,0.0015,0.2629,0.0555
s_segment_27_4449,0.0002,0.0013,0.0038,0.8616,0.0065,0,0.0001,0,0.1265,0,0
s_segment_27_4453,0.0001,0.0001,0.0001,0.3818,0.0401,0.2256,0.0055,0.3146,0.0321,0,0
s_segment_27_4466,0.0025,0.0106,0.0101,0.4715,0.0832,0.0001,0.3803,0.0263,0.0001,0.0073,0.008
s_segment_27_4484,0.0068,0.0002,0.0005,0.8154,0.0091,0.0001,0.0982,0.0696,0,0.0001,0
s_segment_27_4485,0.0019,0.0038,0.001,0.3305,0.0008,0.0236,0.4351,0.0268,0.1318,0.0004,0.0443
s_segment_27_450,0.0012,0.0018,0.0036,0.7517,0.0006,0.1552,0.0132,0.0179,0.0001,0.0313,0.0234
s_segment_27_4510,0.0061,0,0,0.9853,0.0049,0,0,0.003,0,0.0001,0.0006
s_segment_27_4513,0.0061,0.0642,0.0001,0.6452,0.1411,0,0.1433,0,0,0,0
s_segment_27_4520,0.0001,0,0,0.8951,0,0.0001,0,0,0,0,0.1047
s_segment_27_4525,0.0001,0.1219,0.0001,0.5471,0.001,0.2869,0.0415,0.0009,0.0002,0.0002,0.0001
s_segment_27_4528,0.0001,0.0271,0.0005,0.4901,0.0008,0.2292,0.1141,0.0245,0.0751,0.0377,0.0008
s_segment_27_4565,0.0006,0.0001,0.09,0.7891,0.0003,0.1198,0,0,0,0.0001,0
s_segment_27_4606,0.0274,0.1102,0,0.3484,0.0019,0,0.0051,0.5057,0.0009,0.0002,0.0002
s_segment_27_4617,0.0143,0.0025,0.0045,0.495,0.009,0.0251,0.1922,0.2523,0.0014,0.001,0.0027
s_segment_27_4622,0,0.0466,0.0016,0.676,0.0228,0,0.0004,0.2129,0.0392,0.0001,0.0004
s_segment_27_4669,0.0002,0.0091,0.0681,0.3826,0.0052,0.0013,0.5202,0.0007,0.0002,0.0004,0.012
s_segment_27_4676,0,0.0003,0.0164,0.3511,0.0009,0.0004,0.0305,0.2589,0.3248,0,0.0167
s_segment_27_4704,0.0371,0.0122,0.0203,0.4634,0.0083,0.0193,0.1186,0.1015,0.2002,0.0047,0.0144
s_segment_27_4725,0.0001,0.0113,0.0076,0.3665,0.0218,0.0227,0.2524,0.314,0.0016,0.0015,0.0005
s_segment_27_4742,0.0143,0.0028,0.0041,0.2938,0.0493,0.0127,0.0661,0.304,0.1631,0.0244,0.0654
s_segment_27_479,0.0016,0.0035,0.005,0.3009,0.0001,0.011,0.3521,0.2926,0.0138,0.0049,0.0145
s_segment_27_4790,0,0.2279,0,0.6666,0.0001,0.0579,0.0356,0,0,0.0107,0.0012
s_segment_27_4811,0.0379,0.0014,0.0041,0.2426,0.0055,0.043,0.0172,0.3584,0.0082,0.2331,0.0486
s_segment_27_4817,0.0145,0.0004,0,0.7141,0.0004,0.0214,0.2253,0.0007,0.0052,0.0144,0.0036
s_segment_27_483,0,0.0037,0.0001,0.8353,0.0012,0.0578,0.0032,0.0768,0.0025,0.0168,0.0026
s_segment_27_4838,0.0004,0.0001,0,0.7017,0.009,0.1856,0.0178,0,0.0001,0.0853,0
s_segment_27_490,0.0028,0.001,0.0028,0.2721,0.0087,0.0469,0.1934,0.0989,0.1257,0.1443,0.1034
s_segment_27_4937,0.0001,0.0035,0.1151,0.7909,0.0015,0.0035,0.04,0,0.0107,0.0346,0.0001
s_segment_27_4943,0,0.004,0.0002,0.3267,0.0001,0.0006,0.0414,0.6217,0.0049,0,0.0004
s_segment_27_4973,0.004,0,0.0117,0.3697,0.0002,0.5566,0.0513,0.0045,0.0015,0.0001,0.0004
s_segment_27_517,0.0206,0.0024,0,0.422,0.0006,0,0.4758,0.0002,0.0783,0,0.0001
s_segment_27_530,0.0763,0.0087,0.0759,0.3469,0.0036,0.0144,0.0816,0.3475,0.0144,0.0184,0.0123
s_segment_27_538,0.0004,0.0002,0,0.5033,0.0458,0.0007,0.36,0.0882,0.0007,0.0006,0.0001
