,CD4 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean,Unnamed: 0,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,B Cells,CD8 T,Fibroblasts
TCGA-4Z-AA83-01A,5.47,26.888,83.681,21.625,7.753,3.572,10.499,1506.308,6777,BLCA,D1D2_ref,0.046,0.013,0.112,0.008,0.003,0.001,0.16,0.122,0.099,0.079,0.144,0.016,0.032,0.047,0.106,0.01,0.059,0.011,0.22299999999999998
TCGA-ZF-A9R4-01A,2.222,9.523,31.197,24.62,5.931,11.792,2.303,2061.583,6778,BLCA,D1D2_ref,0.036,0.032,0.087,0.057,0.001,0.037,0.403,0.083,0.059,0.032,0.026,0.027,0.008,0.053,0.057,0.003,0.068,0.058,0.057999999999999996
TCGA-BT-A20P-01A,1.0,13.459,45.621,6.508,5.479,1.204,5.391,2851.987,6779,BLCA,D1D2_ref,0.036,0.02,0.097,0.011,0.002,0.003,0.386,0.084,0.108,0.053,0.08,0.016,0.013,0.039,0.046,0.005,0.055999999999999994,0.013,0.133
TCGA-HQ-A2OE-01A,5.042,15.527,28.863,6.685,16.358,1.769,9.455,1669.455,6780,BLCA,D1D2_ref,0.043,0.015,0.103,0.012,0.004,0.002,0.508,0.054,0.057,0.037,0.032,0.025,0.015,0.034,0.047,0.014,0.057999999999999996,0.016,0.069
TCGA-R3-A69X-01A,15.823,24.735,115.557,60.116,23.583,7.737,13.952,1858.344,6781,BLCA,D1D2_ref,0.04,0.022,0.121,0.027,0.012,0.001,0.04,0.065,0.162,0.098,0.193,0.04,0.013,0.019,0.103,0.046,0.062,0.039,0.29100000000000004
TCGA-BT-A3PH-01A,1.0,7.295,73.335,6.533,24.612,1.0,11.927,2090.983,6782,BLCA,D1D2_ref,0.034,0.012,0.084,0.035,0.004,0.011,0.101,0.047,0.138,0.072,0.21,0.031,0.015,0.028,0.141,0.038,0.046,0.03900000000000001,0.282
TCGA-UY-A9PA-01A,6.79,82.057,41.813,18.188,20.306,15.004,8.455,2272.429,6783,BLCA,D1D2_ref,0.037,0.009,0.148,0.05,0.01,0.002,0.161,0.104,0.128,0.053,0.066,0.016,0.019,0.092,0.098,0.007,0.046,0.060000000000000005,0.119
TCGA-BL-A13J-01B,30.469,21.594,39.631,38.78,15.215,5.316,14.573,722.631,6784,BLCA,D1D2_ref,0.05,0.028,0.086,0.105,0.01,0.001,0.17,0.042,0.065,0.099,0.089,0.032,0.014,0.025,0.148,0.036,0.078,0.11499999999999999,0.188
TCGA-CF-A3MI-01A,1.0,22.703,51.002,4.52,3.044,1.801,1.413,1091.989,6785,BLCA,D1D2_ref,0.064,0.015,0.063,0.028,0.0,0.031,0.37,0.124,0.124,0.046,0.038,0.012,0.022,0.012,0.037,0.012,0.079,0.028,0.08399999999999999
TCGA-XF-AAMW-01A,12.536,21.047,76.908,37.694,4.343,3.075,11.593,2226.162,6786,BLCA,D1D2_ref,0.022,0.018,0.121,0.024,0.003,0.001,0.216,0.081,0.118,0.096,0.102,0.025,0.013,0.048,0.082,0.03,0.039999999999999994,0.027,0.198
TCGA-H4-A2HQ-01A,2.731,35.36,46.184,11.181,9.478,1.992,3.969,1963.612,6787,BLCA,D1D2_ref,0.039,0.016,0.125,0.015,0.008,0.002,0.341,0.068,0.083,0.052,0.067,0.018,0.013,0.052,0.097,0.005,0.055,0.023,0.119
TCGA-HQ-A5ND-01A,5.099,10.923,19.652,9.125,2.566,8.779,2.493,2083.016,6788,BLCA,D1D2_ref,0.024,0.05,0.132,0.035,0.005,0.003,0.102,0.055,0.097,0.054,0.195,0.019,0.008,0.094,0.101,0.026,0.07400000000000001,0.04,0.249
TCGA-K4-A6FZ-01A,15.843,28.167,70.395,50.34,19.677,8.704,14.163,2193.196,6789,BLCA,D1D2_ref,0.028,0.021,0.123,0.022,0.004,0.001,0.192,0.063,0.142,0.054,0.077,0.031,0.016,0.065,0.117,0.044,0.049,0.026,0.131
TCGA-DK-A3IV-01A,22.881,118.968,32.227,23.826,10.775,11.901,10.146,1109.948,6790,BLCA,D1D2_ref,0.027,0.05,0.13,0.105,0.004,0.001,0.254,0.071,0.081,0.041,0.07,0.032,0.013,0.031,0.078,0.011,0.077,0.109,0.11100000000000002
TCGA-E7-A3X6-01A,4.254,21.915,67.772,35.329,5.645,18.911,3.126,2007.053,6791,BLCA,D1D2_ref,0.038,0.016,0.13,0.059,0.005,0.001,0.0,0.06,0.169,0.06,0.181,0.025,0.013,0.097,0.129,0.017,0.054,0.064,0.241
TCGA-BT-A42F-01A,11.028,36.948,49.179,113.034,1.932,42.898,6.941,51.748,6792,BLCA,D1D2_ref,0.086,0.012,0.096,0.027,0.013,0.001,0.208,0.08,0.079,0.042,0.062,0.078,0.004,0.03,0.106,0.077,0.09799999999999999,0.04,0.10400000000000001
TCGA-UY-A8OB-01A,13.339,20.471,16.89,21.402,8.172,30.296,4.619,2436.536,6793,BLCA,D1D2_ref,0.024,0.012,0.085,0.059,0.004,0.002,0.389,0.101,0.05,0.039,0.068,0.03,0.029,0.064,0.041,0.002,0.036000000000000004,0.063,0.10700000000000001
TCGA-DK-A1A3-01A,6.53,10.532,85.303,34.95,29.02,4.768,4.511,2872.814,6794,BLCA,D1D2_ref,0.053,0.023,0.088,0.018,0.002,0.005,0.313,0.065,0.133,0.089,0.063,0.06,0.011,0.014,0.049,0.014,0.076,0.019999999999999997,0.152
TCGA-DK-AA6X-01A,8.674,25.454,49.406,27.999,12.945,2.848,9.988,1703.092,6795,BLCA,D1D2_ref,0.033,0.021,0.122,0.015,0.009,0.001,0.3,0.098,0.128,0.056,0.083,0.031,0.017,0.022,0.05,0.013,0.054000000000000006,0.024,0.139
TCGA-G2-A3IE-01A,2.915,31.67,27.952,22.022,8.965,1.228,4.133,1245.948,6796,BLCA,D1D2_ref,0.039,0.028,0.118,0.013,0.001,0.019,0.399,0.081,0.085,0.06,0.036,0.016,0.018,0.03,0.051,0.007,0.067,0.013999999999999999,0.096
TCGA-FD-A5BU-01A,11.534,28.154,73.587,88.811,10.624,13.697,5.791,424.56,6797,BLCA,D1D2_ref,0.029,0.033,0.103,0.02,0.004,0.001,0.0,0.056,0.115,0.109,0.242,0.037,0.009,0.074,0.125,0.041,0.062,0.024,0.351
TCGA-C4-A0EZ-01A,2.058,7.001,71.425,12.416,1.323,2.345,1.594,513.888,6798,BLCA,D1D2_ref,0.017,0.031,0.117,0.068,0.001,0.004,0.254,0.079,0.098,0.028,0.19,0.016,0.007,0.052,0.015,0.023,0.048,0.069,0.218
TCGA-FD-A3B3-01A,32.51,56.708,77.397,87.318,9.273,62.561,16.111,399.748,6799,BLCA,D1D2_ref,0.019,0.019,0.108,0.048,0.018,0.0,0.096,0.059,0.124,0.1,0.153,0.056,0.005,0.051,0.086,0.057,0.038,0.066,0.253
TCGA-FD-A5BZ-01A,6.408,30.074,83.881,29.716,55.704,1.0,5.094,3601.243,6800,BLCA,D1D2_ref,0.031,0.031,0.124,0.009,0.008,0.002,0.0,0.037,0.156,0.13,0.265,0.041,0.011,0.036,0.09,0.029,0.062,0.017,0.395
TCGA-C4-A0F7-01A,3.299,20.039,66.177,7.738,9.282,1.246,2.674,1637.045,6801,BLCA,D1D2_ref,0.014,0.044,0.13,0.009,0.005,0.005,0.251,0.047,0.15,0.06,0.115,0.012,0.011,0.056,0.069,0.022,0.057999999999999996,0.013999999999999999,0.175
TCGA-XF-AAMR-01A,3.301,4.291,77.345,47.754,31.461,4.456,10.494,1212.21,6802,BLCA,D1D2_ref,0.018,0.019,0.135,0.013,0.004,0.001,0.0,0.071,0.171,0.118,0.241,0.03,0.02,0.06,0.082,0.015,0.037,0.017,0.359
TCGA-XF-AAN7-01A,2.462,4.919,207.442,48.457,113.174,4.381,4.331,135.865,6803,BLCA,D1D2_ref,0.014,0.031,0.115,0.016,0.003,0.001,0.0,0.07,0.214,0.073,0.304,0.027,0.014,0.08,0.022,0.015,0.045,0.019,0.377
TCGA-UY-A8OD-01A,5.413,10.066,59.653,22.234,12.308,5.7,6.977,1309.258,6804,BLCA,D1D2_ref,0.028,0.05,0.107,0.015,0.001,0.005,0.0,0.066,0.161,0.096,0.299,0.067,0.006,0.024,0.057,0.017,0.078,0.016,0.395
TCGA-FD-A3SP-01A,49.825,21.371,139.656,200.918,17.247,31.914,16.939,1196.685,6805,BLCA,D1D2_ref,0.012,0.019,0.106,0.021,0.02,0.001,0.0,0.051,0.129,0.153,0.234,0.045,0.011,0.062,0.071,0.063,0.031,0.041,0.387
TCGA-DK-A2HX-01A,6.893,16.39,82.677,55.603,37.603,2.261,6.938,1475.029,6806,BLCA,D1D2_ref,0.029,0.026,0.109,0.021,0.004,0.003,0.0,0.039,0.156,0.134,0.237,0.039,0.009,0.034,0.112,0.049,0.055,0.025,0.371
TCGA-CF-A8HX-01A,1.0,14.066,15.4,3.436,6.897,1.0,5.944,691.668,6807,BLCA,D1D2_ref,0.04,0.025,0.078,0.012,0.001,0.022,0.474,0.074,0.059,0.046,0.048,0.013,0.014,0.049,0.039,0.005,0.065,0.013000000000000001,0.094
TCGA-E7-A85H-01A,4.017,31.981,36.967,47.593,5.906,8.568,3.793,1751.197,6808,BLCA,D1D2_ref,0.034,0.009,0.124,0.03,0.007,0.002,0.409,0.091,0.057,0.055,0.062,0.049,0.013,0.039,0.015,0.005,0.043000000000000003,0.037,0.11699999999999999
TCGA-ZF-A9RL-01A,1.0,17.373,18.703,1.712,112.452,1.0,6.587,1798.103,6809,BLCA,D1D2_ref,0.046,0.034,0.096,0.02,0.001,0.01,0.399,0.061,0.1,0.039,0.045,0.013,0.014,0.051,0.06,0.013,0.08,0.021,0.08399999999999999
TCGA-UY-A9PB-01A,25.501,94.357,76.956,124.361,10.181,69.663,13.536,871.262,6810,BLCA,D1D2_ref,0.024,0.013,0.1,0.052,0.013,0.0,0.109,0.074,0.093,0.125,0.178,0.068,0.013,0.061,0.055,0.022,0.037,0.065,0.303
TCGA-GV-A3JV-01A,9.102,9.471,76.838,23.509,45.226,10.747,5.641,1218.442,6811,BLCA,D1D2_ref,0.04,0.025,0.109,0.015,0.003,0.003,0.346,0.082,0.099,0.076,0.073,0.035,0.015,0.029,0.044,0.007,0.065,0.018,0.149
TCGA-GD-A6C6-01A,1.0,24.864,49.154,40.362,1.572,6.22,1.688,3262.534,6812,BLCA,D1D2_ref,0.043,0.018,0.1,0.037,0.001,0.02,0.432,0.059,0.066,0.032,0.049,0.047,0.046,0.027,0.014,0.008,0.061,0.038,0.081
TCGA-XF-A9SW-01A,6.482,20.219,157.437,72.045,39.443,6.402,12.627,527.632,6813,BLCA,D1D2_ref,0.023,0.041,0.096,0.01,0.002,0.001,0.0,0.032,0.154,0.104,0.342,0.028,0.008,0.031,0.089,0.037,0.064,0.012,0.446
TCGA-GV-A3QI-01A,2.279,11.971,110.981,4.996,9.728,1.0,5.296,476.063,6814,BLCA,D1D2_ref,0.052,0.023,0.12,0.074,0.001,0.003,0.295,0.033,0.121,0.048,0.085,0.011,0.026,0.029,0.063,0.015,0.075,0.075,0.133
TCGA-UY-A9PE-01A,1.224,25.275,32.982,15.812,5.734,1.407,4.595,2192.755,6815,BLCA,D1D2_ref,0.048,0.043,0.092,0.04,0.0,0.022,0.176,0.06,0.101,0.074,0.188,0.052,0.037,0.021,0.039,0.009,0.091,0.04,0.262
TCGA-E7-A97P-01A,11.133,67.074,71.645,57.508,4.568,101.655,7.378,2295.721,6816,BLCA,D1D2_ref,0.018,0.007,0.095,0.11,0.014,0.0,0.02,0.066,0.147,0.074,0.186,0.025,0.014,0.086,0.098,0.04,0.024999999999999998,0.124,0.26
TCGA-G2-AA3D-01A,2.254,10.875,22.184,4.53,7.157,1.21,6.389,1854.775,6817,BLCA,D1D2_ref,0.051,0.067,0.127,0.016,0.001,0.01,0.163,0.079,0.094,0.061,0.085,0.014,0.009,0.066,0.13,0.027,0.118,0.017,0.14600000000000002
TCGA-BL-A3JM-01A,3.311,22.459,71.399,24.693,3.112,9.032,6.326,1222.513,6818,BLCA,D1D2_ref,0.023,0.015,0.107,0.095,0.016,0.002,0.118,0.065,0.133,0.076,0.214,0.038,0.005,0.048,0.023,0.022,0.038,0.111,0.29
TCGA-GV-A3JZ-01A,2.472,10.013,75.991,26.034,14.361,4.073,5.448,1725.054,6819,BLCA,D1D2_ref,0.039,0.014,0.09,0.017,0.011,0.002,0.416,0.079,0.077,0.072,0.056,0.039,0.01,0.026,0.035,0.017,0.053,0.028,0.128
TCGA-ZF-A9R5-01A,2.947,24.11,41.35,8.036,3.571,4.953,8.761,1979.627,6820,BLCA,D1D2_ref,0.052,0.02,0.113,0.004,0.002,0.032,0.468,0.075,0.065,0.036,0.02,0.016,0.015,0.037,0.044,0.001,0.072,0.006,0.055999999999999994
TCGA-UY-A9PH-01A,15.172,59.215,95.14,112.242,12.034,30.373,9.256,2219.822,6821,BLCA,D1D2_ref,0.053,0.01,0.104,0.064,0.004,0.001,0.176,0.117,0.13,0.07,0.095,0.043,0.014,0.02,0.059,0.041,0.063,0.068,0.165
TCGA-E7-A7XN-01A,6.679,89.308,26.408,63.494,2.226,126.716,8.195,2984.692,6822,BLCA,D1D2_ref,0.025,0.007,0.122,0.181,0.01,0.001,0.024,0.068,0.094,0.029,0.115,0.054,0.009,0.119,0.117,0.024,0.032,0.191,0.14400000000000002
TCGA-XF-A9T8-01A,6.763,38.036,78.514,111.474,6.504,54.652,29.859,1717.349,6823,BLCA,D1D2_ref,0.021,0.006,0.098,0.05,0.016,0.001,0.111,0.069,0.124,0.073,0.11,0.1,0.008,0.054,0.119,0.042,0.027000000000000003,0.066,0.183
TCGA-DK-A3X1-01A,2.346,6.619,35.067,10.399,1.614,1.379,1.621,927.618,6824,BLCA,D1D2_ref,0.036,0.036,0.146,0.015,0.002,0.007,0.192,0.096,0.134,0.068,0.16,0.038,0.015,0.028,0.011,0.014,0.072,0.017,0.228
TCGA-E5-A4TZ-01A,1.356,45.732,30.715,11.562,6.453,1.321,8.118,901.705,6825,BLCA,D1D2_ref,0.037,0.045,0.103,0.03,0.006,0.002,0.236,0.057,0.072,0.043,0.067,0.03,0.008,0.087,0.142,0.035,0.08199999999999999,0.036,0.11
TCGA-XF-AAN3-01A,9.172,13.015,26.253,42.33,15.507,2.567,18.784,1400.682,6826,BLCA,D1D2_ref,0.02,0.025,0.148,0.009,0.009,0.006,0.102,0.066,0.115,0.14,0.08,0.103,0.01,0.034,0.116,0.016,0.045,0.018,0.22000000000000003
TCGA-E7-A7DV-01A,63.861,16.484,99.602,631.964,11.955,12.005,21.028,1661.719,6827,BLCA,D1D2_ref,0.013,0.006,0.097,0.027,0.005,0.001,0.214,0.073,0.059,0.051,0.089,0.198,0.019,0.024,0.078,0.045,0.019,0.032,0.13999999999999999
TCGA-BT-A20O-01A,25.066,69.408,126.455,293.056,41.313,179.753,22.713,13.082,6828,BLCA,D1D2_ref,0.009,0.025,0.085,0.091,0.057,0.0,0.133,0.071,0.073,0.083,0.095,0.177,0.02,0.033,0.038,0.01,0.034,0.148,0.178
TCGA-XF-AAMY-01A,3.761,15.265,91.579,36.324,16.322,2.326,9.833,1670.593,6829,BLCA,D1D2_ref,0.019,0.044,0.109,0.023,0.001,0.007,0.058,0.083,0.124,0.107,0.17,0.043,0.014,0.042,0.112,0.045,0.063,0.024,0.277
TCGA-BT-A20V-01A,3.958,31.896,14.027,27.866,4.972,13.601,4.192,1736.52,6830,BLCA,D1D2_ref,0.02,0.017,0.119,0.031,0.004,0.002,0.408,0.09,0.067,0.04,0.057,0.019,0.01,0.069,0.035,0.012,0.037000000000000005,0.035,0.097
TCGA-GC-A3BM-01A,3.06,10.022,62.132,14.425,11.214,2.107,8.155,1738.522,6831,BLCA,D1D2_ref,0.032,0.025,0.112,0.007,0.006,0.002,0.411,0.075,0.096,0.044,0.039,0.017,0.01,0.05,0.071,0.004,0.057,0.013000000000000001,0.08299999999999999
TCGA-K4-A4AB-01B,7.497,8.623,50.673,43.188,5.169,2.737,7.188,2230.403,6832,BLCA,D1D2_ref,0.024,0.02,0.139,0.004,0.013,0.003,0.066,0.072,0.121,0.121,0.183,0.03,0.011,0.058,0.111,0.025,0.044,0.017,0.304
TCGA-FD-A5C0-01A,4.458,11.673,33.629,24.336,13.693,2.004,5.74,2503.048,6833,BLCA,D1D2_ref,0.035,0.024,0.1,0.021,0.003,0.001,0.147,0.059,0.124,0.066,0.182,0.034,0.014,0.057,0.099,0.035,0.059000000000000004,0.024,0.248
TCGA-G2-A2EK-01A,4.534,11.643,32.106,7.528,8.374,1.429,3.224,1176.91,6834,BLCA,D1D2_ref,0.036,0.093,0.125,0.004,0.001,0.039,0.036,0.085,0.14,0.084,0.146,0.016,0.017,0.071,0.104,0.005,0.129,0.005,0.22999999999999998
TCGA-CF-A1HR-01A,3.766,24.022,71.269,9.93,17.472,5.599,8.288,1810.978,6835,BLCA,D1D2_ref,0.046,0.03,0.112,0.033,0.001,0.003,0.16,0.088,0.164,0.06,0.142,0.023,0.015,0.043,0.066,0.015,0.076,0.034,0.20199999999999999
TCGA-GC-A3RD-01A,2.188,16.863,32.358,22.568,5.446,1.323,3.305,1091.714,6836,BLCA,D1D2_ref,0.053,0.037,0.103,0.025,0.002,0.003,0.193,0.063,0.104,0.076,0.08,0.032,0.018,0.063,0.122,0.027,0.09,0.027000000000000003,0.156
TCGA-E7-A5KE-01A,1.0,12.869,32.591,9.311,22.217,1.0,9.971,2316.86,6837,BLCA,D1D2_ref,0.064,0.029,0.077,0.039,0.001,0.008,0.388,0.035,0.09,0.044,0.05,0.018,0.009,0.036,0.089,0.022,0.093,0.04,0.094
TCGA-ZF-A9R9-01A,2.118,31.452,30.693,14.794,4.971,1.706,4.417,356.404,6838,BLCA,D1D2_ref,0.051,0.02,0.069,0.005,0.002,0.02,0.195,0.087,0.08,0.185,0.144,0.049,0.015,0.017,0.049,0.013,0.071,0.007,0.32899999999999996
TCGA-DK-A1AB-01A,14.126,19.085,53.414,36.645,13.401,7.971,16.361,681.403,6839,BLCA,D1D2_ref,0.039,0.024,0.144,0.02,0.011,0.001,0.0,0.066,0.128,0.161,0.139,0.044,0.013,0.041,0.136,0.032,0.063,0.031,0.30000000000000004
TCGA-GU-A42R-01A,1.028,7.374,51.392,5.527,6.645,1.589,3.466,1869.812,6840,BLCA,D1D2_ref,0.025,0.027,0.115,0.008,0.002,0.004,0.301,0.07,0.125,0.053,0.08,0.009,0.017,0.043,0.101,0.021,0.052000000000000005,0.01,0.133
TCGA-E7-A5KF-01A,1.082,24.079,28.112,3.237,23.113,1.0,17.357,3427.052,6841,BLCA,D1D2_ref,0.047,0.031,0.142,0.013,0.001,0.015,0.356,0.066,0.067,0.042,0.039,0.012,0.023,0.061,0.083,0.003,0.078,0.013999999999999999,0.081
TCGA-ZF-AA54-01A,12.484,22.946,140.579,338.571,8.907,19.572,22.421,67.151,6842,BLCA,D1D2_ref,0.015,0.009,0.148,0.035,0.007,0.001,0.209,0.087,0.111,0.077,0.102,0.097,0.022,0.059,0.018,0.003,0.024,0.042,0.179
TCGA-CF-A3MF-01A,1.0,3.029,28.981,1.249,5.758,1.0,2.156,509.039,6843,BLCA,D1D2_ref,0.066,0.036,0.021,0.039,0.0,0.071,0.399,0.09,0.074,0.027,0.052,0.006,0.062,0.017,0.031,0.008,0.10200000000000001,0.039,0.079
TCGA-E7-A6ME-01A,3.332,28.377,60.36,15.874,9.449,12.994,9.138,867.806,6844,BLCA,D1D2_ref,0.042,0.016,0.101,0.063,0.017,0.0,0.365,0.118,0.065,0.032,0.055,0.039,0.022,0.032,0.026,0.006,0.058,0.08,0.087
TCGA-DK-AA6M-01A,23.609,33.334,92.52,184.078,18.0,32.553,10.247,1561.474,6845,BLCA,D1D2_ref,0.024,0.008,0.096,0.043,0.005,0.001,0.215,0.117,0.106,0.072,0.111,0.06,0.02,0.064,0.047,0.011,0.032,0.047999999999999994,0.183
TCGA-CF-A47W-01A,1.0,10.481,55.156,4.991,3.207,2.361,2.629,3006.712,6846,BLCA,D1D2_ref,0.038,0.031,0.133,0.021,0.001,0.008,0.404,0.078,0.107,0.032,0.043,0.013,0.034,0.028,0.027,0.003,0.069,0.022000000000000002,0.075
TCGA-XF-A9ST-01A,1.0,66.475,49.532,2.088,181.064,1.0,63.494,1559.637,6847,BLCA,D1D2_ref,0.028,0.025,0.076,0.064,0.0,0.014,0.439,0.073,0.057,0.044,0.06,0.034,0.035,0.033,0.014,0.005,0.053000000000000005,0.064,0.104
TCGA-FD-A3SN-01A,2.741,13.997,44.934,25.069,2.928,14.885,7.866,1276.097,6848,BLCA,D1D2_ref,0.026,0.009,0.084,0.028,0.005,0.002,0.233,0.062,0.128,0.101,0.115,0.042,0.015,0.053,0.071,0.025,0.034999999999999996,0.033,0.21600000000000003
TCGA-FD-A3B6-01A,10.507,48.976,70.604,88.942,3.718,55.834,16.363,2280.67,6849,BLCA,D1D2_ref,0.022,0.005,0.082,0.065,0.012,0.0,0.351,0.067,0.073,0.031,0.07,0.06,0.013,0.07,0.054,0.026,0.027,0.077,0.101
TCGA-ZF-A9R7-01A,6.831,40.003,37.746,43.051,16.827,84.022,23.588,1750.114,6850,BLCA,D1D2_ref,0.054,0.017,0.1,0.107,0.033,0.0,0.225,0.115,0.089,0.036,0.059,0.03,0.017,0.042,0.07,0.004,0.07100000000000001,0.14,0.095
TCGA-BT-A3PK-01A,10.486,23.658,177.16,26.495,4.219,5.479,12.161,450.679,6851,BLCA,D1D2_ref,0.017,0.025,0.101,0.013,0.004,0.001,0.0,0.048,0.138,0.077,0.242,0.055,0.011,0.079,0.125,0.065,0.042,0.017,0.319
TCGA-FD-A62P-01A,6.124,21.039,56.296,58.129,21.534,15.818,7.663,1470.172,6852,BLCA,D1D2_ref,0.04,0.016,0.091,0.034,0.016,0.0,0.009,0.073,0.135,0.094,0.2,0.05,0.016,0.067,0.112,0.048,0.056,0.05,0.29400000000000004
TCGA-LC-A66R-01A,22.838,56.044,84.379,69.749,13.289,47.947,8.577,1469.116,6853,BLCA,D1D2_ref,0.037,0.027,0.122,0.063,0.006,0.001,0.078,0.057,0.151,0.058,0.182,0.027,0.01,0.056,0.098,0.027,0.064,0.069,0.24
TCGA-DK-AA76-01A,1.0,3.358,44.701,3.169,4.445,1.0,1.171,1458.301,6854,BLCA,D1D2_ref,0.035,0.043,0.109,0.009,0.002,0.014,0.341,0.056,0.093,0.049,0.076,0.015,0.011,0.059,0.078,0.009,0.078,0.011,0.125
TCGA-DK-AA6T-01A,2.176,65.404,26.49,32.268,2.897,16.849,6.485,60.946,6855,BLCA,D1D2_ref,0.009,0.284,0.077,0.047,0.034,0.003,0.281,0.04,0.022,0.033,0.037,0.041,0.053,0.029,0.005,0.006,0.293,0.081,0.07
TCGA-XF-AAMH-01A,2.839,68.022,55.138,14.836,5.816,1.0,6.55,3845.047,6856,BLCA,D1D2_ref,0.037,0.031,0.106,0.048,0.001,0.048,0.029,0.068,0.149,0.112,0.19,0.057,0.021,0.025,0.048,0.032,0.068,0.049,0.302
TCGA-FD-A43U-01A,12.611,60.161,135.71,237.066,13.284,26.25,8.998,1382.391,6857,BLCA,D1D2_ref,0.049,0.028,0.076,0.018,0.006,0.001,0.0,0.043,0.127,0.123,0.214,0.107,0.007,0.035,0.085,0.08,0.077,0.024,0.33699999999999997
TCGA-GC-A6I3-01A,7.876,38.474,39.195,66.822,4.137,27.501,5.849,2243.28,6858,BLCA,D1D2_ref,0.064,0.03,0.141,0.023,0.004,0.003,0.165,0.121,0.101,0.071,0.095,0.092,0.019,0.044,0.013,0.015,0.094,0.027,0.16599999999999998
TCGA-GC-A6I1-01A,16.222,54.185,47.225,217.55,3.388,74.061,12.37,694.947,6859,BLCA,D1D2_ref,0.047,0.01,0.073,0.041,0.019,0.001,0.333,0.067,0.05,0.029,0.069,0.112,0.004,0.043,0.067,0.036,0.057,0.06,0.098
TCGA-FD-A3B8-01A,110.422,54.696,160.491,185.153,53.087,49.8,32.165,744.066,6860,BLCA,D1D2_ref,0.012,0.054,0.073,0.041,0.039,0.0,0.0,0.041,0.134,0.125,0.246,0.042,0.009,0.019,0.079,0.085,0.066,0.08,0.371
TCGA-XF-A8HD-01A,5.823,69.824,56.761,28.11,20.162,66.927,16.504,1878.009,6861,BLCA,D1D2_ref,0.041,0.004,0.098,0.107,0.002,0.001,0.181,0.099,0.099,0.067,0.135,0.037,0.021,0.051,0.046,0.01,0.045,0.109,0.202
TCGA-ZF-A9R2-01A,1.0,5.468,19.896,3.052,11.343,1.0,2.624,2412.731,6862,BLCA,D1D2_ref,0.035,0.026,0.121,0.006,0.006,0.003,0.432,0.065,0.069,0.038,0.046,0.01,0.019,0.055,0.063,0.007,0.061,0.012,0.08399999999999999
TCGA-FD-A62S-01A,30.125,29.485,108.89,103.128,25.861,8.918,8.734,637.843,6863,BLCA,D1D2_ref,0.016,0.02,0.128,0.021,0.015,0.001,0.0,0.062,0.11,0.157,0.226,0.043,0.012,0.05,0.082,0.057,0.036000000000000004,0.036000000000000004,0.383
TCGA-BT-A0S7-01A,4.33,5.005,106.494,17.686,3.193,2.061,4.733,687.8,6864,BLCA,D1D2_ref,0.021,0.05,0.071,0.004,0.016,0.013,0.306,0.053,0.159,0.061,0.086,0.046,0.004,0.014,0.077,0.019,0.07100000000000001,0.02,0.147
TCGA-CF-A8HY-01A,1.0,1.777,76.616,6.347,6.651,1.614,1.411,2296.421,6865,BLCA,D1D2_ref,0.039,0.035,0.114,0.019,0.001,0.009,0.284,0.098,0.126,0.048,0.064,0.007,0.04,0.049,0.062,0.005,0.07400000000000001,0.02,0.112
TCGA-FD-A3B4-01A,16.835,92.756,55.393,48.747,18.132,29.25,9.24,145.061,6866,BLCA,D1D2_ref,0.021,0.085,0.152,0.046,0.003,0.001,0.0,0.047,0.086,0.08,0.23,0.018,0.012,0.078,0.112,0.029,0.10600000000000001,0.049,0.31
TCGA-ZF-A9RF-01A,79.806,36.323,61.853,204.441,5.424,75.631,9.971,1170.873,6867,BLCA,D1D2_ref,0.022,0.002,0.094,0.092,0.013,0.001,0.342,0.065,0.052,0.02,0.078,0.117,0.018,0.068,0.014,0.003,0.024,0.105,0.098
TCGA-FD-A3SQ-01A,8.234,44.602,107.583,44.253,20.411,4.138,14.399,1152.501,6868,BLCA,D1D2_ref,0.047,0.037,0.147,0.006,0.004,0.001,0.0,0.049,0.132,0.147,0.227,0.033,0.014,0.031,0.104,0.022,0.08399999999999999,0.01,0.374
TCGA-4Z-AA7Q-01A,9.153,50.759,54.016,46.701,1.765,33.786,7.227,903.016,6869,BLCA,D1D2_ref,0.07,0.005,0.098,0.053,0.016,0.0,0.195,0.09,0.087,0.036,0.051,0.071,0.009,0.035,0.121,0.062,0.07500000000000001,0.069,0.087
TCGA-DK-AA6S-01A,12.513,14.605,61.331,34.694,8.614,12.263,5.174,2409.072,6870,BLCA,D1D2_ref,0.013,0.021,0.156,0.014,0.021,0.002,0.043,0.078,0.121,0.162,0.157,0.048,0.01,0.05,0.078,0.026,0.034,0.035,0.319
TCGA-LT-A8JT-01A,3.634,18.065,28.706,10.732,69.403,2.581,4.461,1510.725,6871,BLCA,D1D2_ref,0.042,0.03,0.097,0.003,0.001,0.043,0.37,0.093,0.064,0.061,0.045,0.021,0.013,0.052,0.062,0.002,0.07200000000000001,0.004,0.106
